,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1787,Mateus Vital,93108,Cruzeiro,MEI,3.2624999999999997,2.557142857142857,Botafogo,mandante,1.5,2.3812499999999996
1788,Rayan,122486,Vasco,ATA,0.55,6.8,Grêmio,mandante,4.142857142857143,2.3464285714285715
1789,Matheus Alexandre,103347,Cuiabá,LAT,3.3285714285714287,5.6499999999999995,Flamengo,mandante,1.3333333333333333,2.330952380952381
1790,Zé Gabriel,105902,Vasco,MEI,0.45,3.0500000000000003,Grêmio,mandante,4.142857142857143,2.2964285714285717
1791,Ivo Vieira,121593,Cuiabá,TEC,3.25,4.505000000000001,Flamengo,mandante,1.3333333333333333,2.2916666666666665
1792,Jonathan Cafu,78580,Cuiabá,ATA,3.225,2.7857142857142856,Flamengo,mandante,1.3333333333333333,2.279166666666667
1793,Lucas Barbosa,112886,Santos,MEI,1.5,3.466666666666667,Athletico-PR,mandante,3.025,2.2625
1794,Marcelo Rangel,82730,Goiás,GOL,-1.0,2.0,Fortaleza,mandante,5.5,2.25
1795,Machado,96089,Cruzeiro,MEI,2.922222222222222,3.8125,Botafogo,mandante,1.5,2.2111111111111112
1796,Thiago Santos,78855,Fluminense,MEI,0.825,0.25,Palmeiras,mandante,3.5555555555555554,2.1902777777777778
1797,Bruno Henrique,70944,Internacional,MEI,0.3,0.0,Corinthians,mandante,4.077777777777778,2.188888888888889
1798,Diego Rosa,107796,Bahia,MEI,1.5,0.775,América-MG,mandante,2.875,2.1875
1799,Estevão,117870,Internacional,MEI,0.2,0.0,Corinthians,mandante,4.077777777777778,2.1388888888888893
1800,Daniel Ruiz,116672,Santos,MEI,1.24,0.875,Athletico-PR,mandante,3.025,2.1325
1801,William Pottker,77809,Coritiba,ATA,0.3666666666666667,2.1,Bragantino,mandante,3.875,2.1208333333333336
1802,Camacho,68770,Santos,MEI,1.1,0.7833333333333332,Athletico-PR,mandante,3.025,2.0625
1803,Ceppelini,72762,Cuiabá,MEI,2.742857142857143,2.1625,Flamengo,mandante,1.3333333333333333,2.038095238095238
1804,Eguinaldo,118708,Vasco,ATA,-0.1,0.06666666666666665,Grêmio,mandante,4.142857142857143,2.021428571428572
