,apelido,atleta_id,clube,posicao,media_casa,media_fora
433,Thomas Luciano,111819,Grêmio,LAT,4.35,1.8
434,Tinga,82628,Fortaleza,LAT,5.633333333333333,4.0
435,Tiquinho Soares,84042,Botafogo,ATA,9.35,13.166666666666666
436,Titi,50353,Fortaleza,ZAG,4.566666666666666,5.266666666666667
437,Vagner Mancini,39850,América-MG,TEC,3.2725,4.13
438,Vanderlan,107236,Palmeiras,LAT,5.0,0.0
439,Vanderlei Luxemburgo,41327,Corinthians,TEC,3.59,2.725
440,Vargas,69102,Atlético-MG,ATA,9.2,0.85
441,Victor Hugo,116034,Flamengo,MEI,3.875,1.5499999999999998
442,Victor Luis,86410,Coritiba,LAT,1.7,-0.3333333333333334
443,Victor Sá,108946,Botafogo,ATA,8.0,3.3666666666666667
444,Vidal,69375,Flamengo,MEI,3.0666666666666664,2.35
445,Villasanti,97145,Grêmio,MEI,6.0,-0.2
446,Vina,71162,Grêmio,MEI,0.6499999999999999,4.033333333333334
447,Vinicius,68917,Goiás,ATA,4.550000000000001,3.5666666666666664
448,Vinícius Balieiro,110605,Santos,MEI,-0.3,0.0
449,Vinícius Zanocelo,104521,Fortaleza,MEI,-0.3,1.2
450,Vitinho,101960,Bragantino,ATA,5.65,0.04999999999999999
451,Vitor Bueno,87552,Athletico-PR,MEI,2.05,3.925
452,Vitor Hugo,72605,Bahia,ZAG,1.4500000000000002,4.1
453,Vitor Jacaré,101201,Bahia,ATA,5.5,8.65
454,Vitor Mendes,104401,Fluminense,ZAG,5.0,4.9
455,Vitor Roque,114802,Athletico-PR,ATA,7.3999999999999995,3.725
456,Vitão,97900,Internacional,ZAG,3.0,1.2
457,Víctor Cuesta,79113,Botafogo,ZAG,8.875,0.55
458,Wallisson,101405,Cruzeiro,MEI,2.9,2.1
459,Walter,51413,Cuiabá,GOL,0.3333333333333333,3.5
460,Wanderson,86143,América-MG,ZAG,-0.3,0.0
461,Wanderson,93478,Internacional,ATA,6.1,3.45
462,Wellington Paulista,38279,América-MG,ATA,1.45,0.0
463,Wellington Rato,82766,São Paulo,MEI,3.733333333333334,3.0999999999999996
464,Wellington Silva,68895,Cuiabá,ATA,1.1333333333333333,1.4666666666666668
465,Wesley,105811,Cruzeiro,ATA,7.3,3.5
466,Wesley,115239,Flamengo,LAT,4.15,3.6
467,Wesley,117909,Corinthians,ATA,4.6,3.75
468,Weverton,71631,Palmeiras,GOL,1.125,5.666666666666667
469,William,89275,Cruzeiro,LAT,4.3,7.533333333333334
470,William Pottker,77809,Coritiba,ATA,0.3666666666666667,2.1
471,Willian,42116,Athletico-PR,ATA,8.0,4.4
472,Willian Farias,63058,Coritiba,MEI,2.35,2.6
473,Willian Oliveira,81952,Goiás,MEI,-1.0,1.1666666666666667
474,Yago Felipe,87747,Bahia,MEI,1.7,2.6666666666666665
