"atleta_id","nome_txt","apelido_txt","preco_editorial_num","foto_txt"
38638,"Germano Borovicz Cardozo Schweger","Germano",4.00,"http://s.glbimg.com/es/sde/f/2012/01/11/92bdb5dd63c8cd9fdb58d45e9b4a8ad1_FORMATO.jpeg"
38695,"David França Oliveira e Silva","David",8.00,"http://s.glbimg.com/es/sde/f/2012/09/13/e7b1a1af8091fc2cb9fd3f310e377ec3_FORMATO.jpeg"
38763,"Márcio José Oliveira","Marcinho",7.00,"http://s.glbimg.com/es/sde/f/2014/07/02/076782a9377cfb295e22d4d81c7626ae_FORMATO.jpeg"
38908,"Renato Dirnei Florêncio","Renato",5.00,"http://s.glbimg.com/es/sde/f/2011/08/11/975fb64dedb96c1e07597ad3b255b035_FORMATO.jpeg"
38919,"Ricardo Izecson dos Santos Leite","Kaká",8.00,"http://s.glbimg.com/es/sde/f/2014/09/04/621552ad46a6a0ed6d1a2ad35746561f_FORMATO.jpeg"
38921,"Júlio César Baptista","Júlio Baptista",18.00,"http://s.glbimg.com/es/sde/f/2010/12/07/9ba64b16ca4394763b5c0ee5523b50ff_FORMATO.jpeg"
38960,"José Eduardo Bischofe de Almeida","Zé Eduardo",12.00,"http://s.glbimg.com/es/sde/f/2010/11/17/cac3854b537f9e2fce6a261e2869f212_FORMATO.jpeg"
38986,"Aílton do Nascimento Correia","Aílton",7.00,"http://s.glbimg.com/es/sde/f/2013/08/19/a2902e4248c0142426982584195ab59f_FORMATO.jpeg"
38990,"Alcides Eduardo Mendes de Araújo","Alcides",1.00,"http://s.glbimg.com/es/sde/f/2013/03/13/1d3dee782e17e87b9b636ae204b0a4be_FORMATO.jpeg"
39137,"Adaílton José dos Santos Filho","Adaílton",6.00,"http://s.glbimg.com/es/sde/f/2014/07/10/e4fb265502cbe22437c58aa0e69e7790_FORMATO.jpeg"
39230,"Ismael Soares Bastos Neto","Neto Coruja",4.00,"http://s.glbimg.com/es/sde/f/2012/01/10/0cdaf5c0a37fd217e100d9a1cf170557_FORMATO.jpeg"
39572,"José Renato da Silva Júnior","Renato",3.00,NULL
39850,"Vagner Carmo Mancini","Vagner Mancini",6.00,"http://s.glbimg.com/es/sde/f/2011/08/11/cf76d30d1e028464496d6297b6672669_FORMATO.jpeg"
40006,"Abel Carlos da Silva Braga","Abel Braga",15.00,"http://s.glbimg.com/es/sde/f/2011/08/11/0250b75bd553569fff44582920bc2da1_FORMATO.jpeg"
40025,"Levir Culpi","Levir Culpi",10.00,"http://s.glbimg.com/es/sde/f/2014/04/25/b242f518d23fd421cb59b6e4bec8eddd_FORMATO.jpeg"
40130,"Silvio Silas da Silva Walenga","Silvio",2.00,"http://s.glbimg.com/es/sde/f/2013/06/05/457f5a122d0fa90be93cb85c21b358a4_FORMATO.jpeg"
40179,"Kleber Giacomace de Souza Freitas","Kleber",19.00,"http://s.glbimg.com/es/sde/f/2010/11/18/1e3fba2a4631a75a88c2821da483adb8_FORMATO.jpeg"
40904,"Julio Cesar da Silva e Souza","Julio Cesar",6.00,"http://s.glbimg.com/es/sde/f/2011/08/10/f0c2259d0890a98bddb1f074aa5c3374_FORMATO.jpeg"
40990,"Dorival Silvestre Júnior","Dorival Júnior",8.43,"http://s.glbimg.com/es/sde/f/2011/08/10/262ce37e4cce9e99302a33385da74127_FORMATO.jpeg"
41126,"Rodrigo Gral","Rodrigo Gral",5.00,"http://s.glbimg.com/es/sde/f/2014/02/05/680e940d96b7d252b8846f82d25313c7_FORMATO.jpeg"
41218,"Alessandro Beti Rosa","Magrão",9.00,"http://s.glbimg.com/es/sde/f/2012/01/11/25a2d10ec0f2aa161578e340bf7763b8_FORMATO.jpeg"
41327,"Vanderlei Luxemburgo da Silva","Vanderlei Luxemburgo",7.99,"http://s.glbimg.com/es/sde/f/2010/11/12/1475e3789be724b296ff8b4547f13a25_FORMATO.jpeg"
41357,"Adriano Leite Ribeiro","Adriano",10.00,"http://s.glbimg.com/es/sde/f/2010/12/07/543471efc88dbdda6727eb3e925f0bbe_FORMATO.jpeg"
41364,"Lincoln Cássio de Souza Soares","Lincoln",9.00,"http://s.glbimg.com/es/sde/f/2010/11/18/cb32772b50aca7fe576230157283a477_FORMATO.jpeg"
41519,"Lucimar da Silva Ferreira","Lúcio",18.00,"http://s.glbimg.com/es/sde/f/2012/12/23/d50b6b3fed3910ec028d3cffe8c76cff_FORMATO.png"
41946,"Luiz Carlos Saroli","Caio Júnior",4.00,"http://s.glbimg.com/es/sde/f/2014/04/07/40de853b9cc26eedb74a595643db1c42_FORMATO.jpeg"
42116,"Willian Gomes de Siqueira","Willian",17.00,"http://s.glbimg.com/es/sde/f/2011/08/11/eafc8ab7e3ed2253414d66e076a801f8_FORMATO.jpeg"
42118,"Euvaldo José de Aguiar Neto","Neto Baiano",5.00,"http://s.glbimg.com/es/sde/f/2011/10/03/40e93203da57cb0f505d09c1197d09c9_FORMATO.jpeg"
42145,"Egídio de Araújo Pereira Júnior","Egídio",14.00,"http://s.glbimg.com/es/sde/f/2011/08/11/6c77e6cda6ae6fdfa495e059cb1663fb_FORMATO.jpeg"
42222,"Osvaldo Lourenço Filho","Osvaldo",16.00,"http://s.glbimg.com/es/sde/f/2011/08/11/775b522a2d0855822af84ba5d72b597f_FORMATO.jpeg"
42232,"William José de Souza","Amaral",7.00,"http://s.glbimg.com/es/sde/f/2013/04/23/2c30f7bdfb593f4b45fd114bc92afad3_FORMATO.jpeg"
42234,"Cássio Ramos","Cássio",19.00,"http://s.glbimg.com/es/sde/f/2013/04/12/7e7ce710f2ed8a3a8ebac3a9523c8763_FORMATO.jpeg"
42247,"Danny Bittencourt Morais","Danny Morais",4.00,"http://s.glbimg.com/es/sde/f/2010/11/16/0d2617ef55e6b1b446cc7198ca0f62d2_FORMATO.jpeg"
42330,"Felipe Garcia dos Prazeres","Felipe Garcia",2.00,"http://s.glbimg.com/es/sde/f/2010/11/17/5087b42b591f8a0e2bdf1658d2b06d0b_FORMATO.jpeg"
42490,"Jackson Avelino Coelho","Jajá",2.00,"http://s.glbimg.com/es/sde/f/2012/04/04/fbaf9b35c9055ee5a7e9d64ec6be7fc7_FORMATO.jpeg"
42499,"Bruno Vieira do Nascimento","Bruno",13.00,"http://s.glbimg.com/es/sde/f/2012/01/17/8c313dc63e7c3af558631439d0cb081e_FORMATO.jpeg"
42500,"Fagner Conserva Lemos","Fagner",5.00,"http://s.glbimg.com/es/sde/f/2010/11/12/2783d253b7de18180782ff7832c0c6d2_FORMATO.jpeg"
42501,"Luiz Rhodolfo Dini Gaioto","Rhodolfo",20.00,"http://s.glbimg.com/es/sde/f/2011/08/11/97f2e8f8be93e2c77dfa25c6dbe894b2_FORMATO.jpeg"
42540,"Josileudo Rodrigues de Araújo","Bileu",4.00,"http://s.glbimg.com/es/sde/f/2014/01/25/518bcf56ec7eb24bc53a453ca0b2ad13_FORMATO.jpeg"
43618,"Luiz Felipe Scolari","Luiz Felipe Scolari",10.72,NULL
