"atleta_scout_id","rodada_id","atleta_id","scout_id","quantidade_num"
696,1,51779,8,0
698,1,51779,13,0
699,1,51779,3,2
701,1,51779,4,0
702,1,51779,15,0
703,1,52950,1,0
704,1,52950,18,0
705,1,52950,13,1
707,1,52950,17,0
709,1,52950,9,0
710,1,52950,14,0
711,1,52950,16,2
712,1,52950,8,0
713,1,52950,7,0
715,1,52950,2,0
716,1,52950,3,3
717,1,52950,5,0
719,1,52950,4,0
720,1,52950,15,0
721,1,60969,1,0
722,1,60969,14,0
723,1,60969,13,0
724,1,60969,5,0
725,1,60969,17,0
726,1,60969,18,0
727,1,60969,7,1
728,1,60969,16,0
729,1,60969,3,4
731,1,60969,9,2
733,1,60969,8,0
736,1,60969,2,1
737,1,60969,4,0
738,1,60969,15,0
739,1,62104,1,0
740,1,62104,5,0
741,1,62104,8,1
743,1,62104,14,0
745,1,62104,9,1
748,1,62104,16,0
749,1,62104,7,0
750,1,62104,17,1
751,1,62104,18,1
752,1,62104,13,0
753,1,62104,3,2
754,1,62104,2,0
755,1,62104,4,0
756,1,62104,15,0
757,1,63000,1,0
758,1,63000,8,1
759,1,63000,3,1
760,1,63000,2,1
762,1,63000,5,0
763,1,63000,9,3
764,1,63000,14,0
766,1,63000,18,0
769,1,63000,13,0
770,1,63000,16,0
771,1,63000,7,0
772,1,63000,17,0
773,1,63000,4,0
774,1,63000,15,0
775,1,68685,1,0
776,1,68685,16,0
777,1,68685,3,1
779,1,68685,2,1
782,1,68685,9,2
783,1,68685,18,0
784,1,68685,8,0
785,1,68685,14,0
786,1,68685,7,0
787,1,68685,5,0
789,1,68685,17,0
790,1,68685,13,0
791,1,68685,4,0
792,1,68685,15,0
793,1,68920,1,0
794,1,68920,16,0
795,1,68920,9,0
796,1,68920,14,0
798,1,68920,8,0
799,1,68920,3,3
801,1,68920,7,1
802,1,68920,5,0
803,1,68920,17,1
804,1,68920,2,1
806,1,68920,18,0
808,1,68920,13,0
809,1,68920,4,0
