,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1869,David Luiz,52827,Flamengo,ZAG,2.3600000000000003,0.4800000000000001,São Paulo,visitante,2.5,1.49
1870,Rafael Ramos,93236,Corinthians,LAT,6.511111111111112,1.8199999999999998,Avaí,visitante,1.1,1.46
1871,Gustavo Henrique,78248,Flamengo,ZAG,9.6,0.26666666666666666,São Paulo,visitante,2.5,1.3833333333333333
1872,Vitinho,101960,Athletico-PR,ATA,2.7,0.775,Atlético-MG,visitante,1.9899999999999998,1.3824999999999998
1873,Léo Pereira,83528,Flamengo,ZAG,5.033333333333333,0.16666666666666666,São Paulo,visitante,2.5,1.3333333333333333
1874,Júnior Moraes,93014,Corinthians,ATA,0.24000000000000005,1.5,Avaí,visitante,1.1,1.3
1875,Auro,88540,Santos,LAT,1.0,-0.35000000000000003,Coritiba,visitante,2.9,1.275
1876,Giuliano,51548,Corinthians,MEI,1.4555555555555557,1.4285714285714286,Avaí,visitante,1.1,1.2642857142857142
1877,Marlos,50879,Athletico-PR,MEI,0.6499999999999999,0.5,Atlético-MG,visitante,1.9899999999999998,1.2449999999999999
1878,Pedro Rocha,90302,Athletico-PR,ATA,3.25,0.44999999999999996,Atlético-MG,visitante,1.9899999999999998,1.2199999999999998
1879,Luiz Felipe,79035,Santos,ZAG,12.7,-0.5,Coritiba,visitante,2.9,1.2
1880,Maycon,94154,Corinthians,MEI,1.0666666666666667,1.1799999999999997,Avaí,visitante,1.1,1.14
1881,Marcelo Cirino,69022,Athletico-PR,ATA,1.6799999999999997,0.21666666666666665,Atlético-MG,visitante,1.9899999999999998,1.1033333333333333
1882,Gustavo Mosquito,97450,Corinthians,ATA,5.46,1.1,Avaí,visitante,1.1,1.1
1883,Vera,107950,Corinthians,MEI,8.8,0.0,Avaí,visitante,1.1,1.1
1884,Matheus Babi,94444,Athletico-PR,ATA,-0.15000000000000002,0.175,Atlético-MG,visitante,1.9899999999999998,1.0824999999999998
1885,Matheus França,115100,Flamengo,MEI,0.23333333333333336,-0.4,São Paulo,visitante,2.5,1.05
1886,Matheus Donelli,107179,Corinthians,GOL,0.0,1.0,Avaí,visitante,1.1,1.05
1887,Rodinei,73992,Flamengo,LAT,6.179999999999999,-0.4666666666666666,São Paulo,visitante,2.5,1.0166666666666666
1888,Roni,105585,Corinthians,MEI,1.4571428571428573,0.8999999999999999,Avaí,visitante,1.1,1.0
1889,Henrique Lordelo,107259,Goiás,MEI,0.9666666666666667,-2.4,Palmeiras,visitante,4.25,0.925
1890,Giovane,117849,Corinthians,ATA,0.26666666666666666,0.5333333333333333,Avaí,visitante,1.1,0.8166666666666667
1891,Isla,69345,Flamengo,LAT,4.1499999999999995,-1.0333333333333334,São Paulo,visitante,2.5,0.7333333333333333
1892,Carlos Sánchez,81677,Santos,MEI,0.44999999999999996,-1.5,Coritiba,visitante,2.9,0.7
1893,Fabrício Bruno,90768,Flamengo,ZAG,1.1,-1.1,São Paulo,visitante,2.5,0.7
1894,Pablo Siles,104715,Athletico-PR,MEI,0.6666666666666666,-0.6499999999999999,Atlético-MG,visitante,1.9899999999999998,0.6699999999999999
1895,Felipe Augusto,111408,Corinthians,ATA,0.30000000000000004,0.2,Avaí,visitante,1.1,0.65
1896,Diego Alves,38509,Flamengo,GOL,6.0,-1.5,São Paulo,visitante,2.5,0.5
1897,Balbuena,87887,Corinthians,ZAG,8.8,-0.1,Avaí,visitante,1.1,0.5
1898,Yuri Alberto,100652,Corinthians,ATA,2.1500000000000004,-0.1,Avaí,visitante,1.1,0.5
1899,Xavier,102067,Corinthians,MEI,1.1,-0.6,Avaí,visitante,1.1,0.25000000000000006
1900,Thiago Heleno,38394,Athletico-PR,ZAG,2.9,-1.9,Atlético-MG,visitante,1.9899999999999998,0.04499999999999993
1901,Robert Renan,117330,Corinthians,ZAG,6.5,-1.5,Avaí,visitante,1.1,-0.19999999999999996
