,apelido,atleta_id,clube,posicao,media_casa,media_fora
247,Léo Baptistão ,81161,Santos,ATA,9.200000000000001,2.7
248,Léo Cittadini,70986,Athletico-PR,MEI,1.45,2.6
249,Léo Gamalho,53865,Coritiba,ATA,9.700000000000001,5.1
250,Léo Ortiz,97867,Bragantino,ZAG,8.15,7.2
251,Léo Pereira,106681,Atlético-GO,ATA,1.8333333333333333,4.6000000000000005
252,Léo Rafael,107344,Ceará,MEI,-0.1,0.0
253,Madson,78077,Santos,LAT,5.633333333333333,1.3
254,Maguinho,72532,Goiás,LAT,2.4,2.2666666666666666
255,Maicon,71227,Santos,ZAG,9.45,4.266666666666667
256,Mano Menezes,37281,Internacional,TEC,5.085,5.145
257,Manoel,69014,Fluminense,ZAG,2.1500000000000004,5.2
258,Marcelo Benevenuto,95638,Fortaleza,ZAG,1.9,2.066666666666667
259,Marcelo Cirino,69022,Athletico-PR,ATA,1.3666666666666665,2.3
260,Marcos Guilherme,83266,Santos,ATA,1.9,0.0
261,Marcos Leonardo,109497,Santos,ATA,8.733333333333333,5.8999999999999995
262,Marcos Rocha,63013,Palmeiras,LAT,3.1666666666666665,4.7
263,Marcos Victor,115537,Ceará,ZAG,3.4,0.0
264,Marcão Silva,78856,Cuiabá,MEI,3.1500000000000004,0.15000000000000002
265,Mariano,38877,Atlético-MG,LAT,3.9,7.2
266,Marinho,68952,Flamengo,ATA,7.3,1.65
267,Marllon,70666,Cuiabá,ZAG,2.8,4.725
268,Marlon,91706,Fluminense,LAT,-2.3,1.6
269,Marlon Freitas,93790,Atlético-GO,MEI,6.266666666666667,1.2999999999999998
270,Marlos,50879,Athletico-PR,MEI,0.6499999999999999,0.5
271,Marquinhos,102292,Cuiabá,ATA,4.95,1.6
272,Marquinhos,113158,São Paulo,ATA,1.9,0.0
273,Martinelli,109573,Fluminense,MEI,1.0,0.0
274,Matheus Alexandre,103347,Coritiba,LAT,5.966666666666666,3.5333333333333337
275,Matheus Alves,91712,Goiás,GOL,-1.0,0.0
276,Matheus Felipe,102310,Athletico-PR,ZAG,3.4333333333333336,7.65
277,Matheus Fernandes,94067,Athletico-PR,MEI,5.6,3.1500000000000004
278,Matheus França,115100,Flamengo,MEI,-0.7,0.0
279,Matheus Jussa,91689,Fortaleza,MEI,0.2,-1.3
280,Matheus Martins,111831,Fluminense,ATA,0.4,0.0
281,Matheus Nascimento,109114,Botafogo,ATA,2.1,-0.25
282,Matheus Ribeiro,82943,Avaí,LAT,0.8,0.0
283,Matheus Sales,89285,Goiás,MEI,0.6499999999999999,2.5
284,Matheus Vargas,87929,Fortaleza,MEI,3.0,-0.2
285,Matheusinho,93886,América-MG,MEI,5.7,-1.7000000000000002
286,Maurício,105647,Internacional,MEI,2.6999999999999997,0.5333333333333333
287,Maurício Barbieri,82792,Bragantino,TEC,5.239999999999999,3.773333333333334
288,Max Walef,84338,Fortaleza,GOL,1.5,1.5
289,Maycon,94154,Corinthians,MEI,3.9000000000000004,1.3249999999999997
290,Mayke,81150,Palmeiras,LAT,2.425,0.0
291,Mendoza,90031,Ceará,ATA,2.766666666666667,5.65
292,Mercado,72951,Internacional,ZAG,2.766666666666667,6.65
293,Messias,87402,Ceará,ZAG,0.6499999999999999,1.3
294,Michel,80664,Ceará,LAT,-0.4,2.9
295,Miguel,105612,Bragantino,MEI,2.466666666666667,6.7
296,Moisés,90444,Internacional,LAT,-0.1,0.0
297,Moisés,104666,Fortaleza,ATA,0.8,5.966666666666666
298,Morato,86227,Avaí,ATA,6.525,3.6
299,Murilo,97653,Palmeiras,ZAG,4.425,4.7
300,Muriqui,38225,Avaí,ATA,8.375,6.0
301,Nacho Fernández,94916,Atlético-MG,MEI,8.133333333333333,4.3
302,Natan,107110,Bragantino,ZAG,14.9,0.6
303,Nathan,87009,Fluminense,MEI,0.29999999999999993,3.6
304,Nathan Silva,95794,Atlético-MG,ZAG,5.95,4.55
305,Neilton,83772,Coritiba,ATA,1.6,0.0
306,Nicolas,72524,Goiás,ATA,-0.55,0.7000000000000001
307,Nikão,69705,São Paulo,MEI,5.85,0.6
308,Nino,91708,Fluminense,ZAG,5.233333333333333,3.5
