,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1328,Danilo,107231,Palmeiras,MEI,3.625,0.95,Atlético-MG,mandante,2.25,2.9375
1329,Rony,91607,Palmeiras,ATA,3.6000000000000005,8.533333333333333,Atlético-MG,mandante,2.25,2.9250000000000003
1330,Pablo Siles,104715,Athletico-PR,MEI,0.5,-0.7,Santos,mandante,5.333333333333333,2.9166666666666665
1331,João Paulo,71602,América-MG,LAT,4.2,1.1333333333333333,Cuiabá,mandante,1.625,2.9125
1332,Luan Polli,88916,Atlético-GO,GOL,3.0,1.5,Corinthians,mandante,2.75,2.875
1333,Douglas Friedrich,78584,Avaí,GOL,2.5,0.675,São Paulo,mandante,3.25,2.875
1334,Umberto Louzer,101077,Atlético-GO,TEC,2.983333333333333,3.24,Corinthians,mandante,2.75,2.8666666666666663
1335,Miguel,105612,Bragantino,MEI,2.466666666666667,6.7,Internacional,mandante,3.25,2.8583333333333334
1336,Ramon Menezes,88087,Atlético-GO,ZAG,2.966666666666667,2.3333333333333335,Corinthians,mandante,2.75,2.8583333333333334
1337,Bressan,72491,Avaí,ZAG,2.4499999999999997,3.9,São Paulo,mandante,3.25,2.8499999999999996
1338,João Victor,112060,Ceará,ATA,0.9,0.0,Coritiba,mandante,4.75,2.825
1339,Luiz Fernando ,90715,Atlético-GO,ATA,2.9,1.7333333333333334,Corinthians,mandante,2.75,2.825
1340,Jorginho,77544,Atlético-GO,MEI,2.875,4.866666666666666,Corinthians,mandante,2.75,2.8125
1341,Saravia,96725,Botafogo,LAT,2.6,3.8200000000000003,Goiás,mandante,3.0,2.8
1342,João Ricardo,81881,Ceará,GOL,0.8333333333333334,5.55,Coritiba,mandante,4.75,2.7916666666666665
1343,Vina,71162,Ceará,MEI,0.8,2.3666666666666667,Coritiba,mandante,4.75,2.775
1344,Tchê Tchê,86686,Botafogo,MEI,2.5,1.4500000000000002,Goiás,mandante,3.0,2.75
1345,Luiz Otávio,72359,Ceará,ZAG,0.7,1.0333333333333334,Coritiba,mandante,4.75,2.725
1346,Andreas Pereira,89274,Flamengo,MEI,0.7666666666666666,3.8000000000000003,Fortaleza,mandante,4.666666666666667,2.716666666666667
1347,Marcos Rocha,63013,Palmeiras,LAT,3.1666666666666665,9.6,Atlético-MG,mandante,2.25,2.708333333333333
1348,Messias,87402,Ceará,ZAG,0.6499999999999999,3.55,Coritiba,mandante,4.75,2.7
1349,Gabriel Lacerda,108176,Ceará,ZAG,0.65,2.3,Coritiba,mandante,4.75,2.7
1350,Realpe,106299,Bragantino,ZAG,2.0999999999999996,0.5499999999999999,Internacional,mandante,3.25,2.675
1351,Kevin,91888,Avaí,LAT,2.1,1.875,São Paulo,mandante,3.25,2.675
1352,Eric Ramires,103295,Bragantino,MEI,2.0,0.3333333333333333,Internacional,mandante,3.25,2.625
1353,Erick,97810,Ceará,ATA,0.49999999999999994,0.7999999999999999,Coritiba,mandante,4.75,2.625
1354,Gabriel Veron,103764,Palmeiras,ATA,3.0,1.5,Atlético-MG,mandante,2.25,2.625
1355,Edson ,80370,Atlético-GO,MEI,2.466666666666667,1.2,Corinthians,mandante,2.75,2.6083333333333334
1356,Arthur Henrique,86629,Atlético-GO,LAT,2.4,2.8499999999999996,Corinthians,mandante,2.75,2.575
1357,Arthur Chaves,111412,Avaí,ZAG,1.875,3.875,São Paulo,mandante,3.25,2.5625
1358,Matheus Nascimento,109114,Botafogo,ATA,2.1,0.175,Goiás,mandante,3.0,2.55
1359,Victor Sá,108946,Botafogo,ATA,2.1,4.78,Goiás,mandante,3.0,2.55
1360,Andrés Hurtado,110715,Bragantino,LAT,1.8,4.2,Internacional,mandante,3.25,2.525
1361,Carlos Eduardo,90917,Bragantino,ATA,1.8,4.0,Internacional,mandante,3.25,2.525
1362,Wanderson,86143,Atlético-GO,ZAG,2.275,0.30000000000000004,Corinthians,mandante,2.75,2.5125
1363,Gatito Fernández,74061,Botafogo,GOL,2.0,5.666666666666667,Goiás,mandante,3.0,2.5
1364,Jefferson,95220,Atlético-GO,LAT,2.225,1.725,Corinthians,mandante,2.75,2.4875
1365,Luan Patrick,106835,América-MG,ZAG,3.3,0.7,Cuiabá,mandante,1.625,2.4625
1366,Geovane,105336,Ceará,MEI,0.10000000000000002,-0.6666666666666666,Coritiba,mandante,4.75,2.425
1367,Gustavo,108201,América-MG,MEI,3.2,1.6500000000000001,Cuiabá,mandante,1.625,2.4125
1368,Raúl Cáceres,71680,América-MG,LAT,3.1,7.55,Cuiabá,mandante,1.625,2.3625
1369,Índio Ramírez,97062,América-MG,MEI,3.1,1.9000000000000001,Cuiabá,mandante,1.625,2.3625
