,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
326,"{'A': 1, 'DS': 9, 'FC': 3, 'FD': 11, 'FF': 8, 'FS': 8, 'G': 2, 'I': 4, 'PI': 63}",104666,16,356,5,7,1.6,5.65,0.02,3.2,15,,moises,Moisés,Moisés,Moisés Vieira da Veiga,https://s.glbimg.com/es/sde/f/2022/02/25/d70cbac7a2764d91733f288c09e9f357_FORMATO.png,Provável
327,"{'A': 1, 'CA': 1, 'DS': 7, 'FC': 6, 'FD': 3, 'FF': 10, 'FS': 8, 'FT': 3, 'G': 2, 'I': 3, 'PI': 27, 'PP': 1, 'PS': 1}",94583,16,262,5,7,0.5,7.89,-2.0,3.47,13,,pedro,Pedro,Pedro,Pedro Guilherme Abreu dos Santos,https://s.glbimg.com/es/sde/f/2022/04/25/ee38c717eeb351fd94e1dfdd699c2e26_FORMATO.png,Provável
328,"{'CA': 1, 'DS': 6, 'FC': 8, 'FF': 3, 'FS': 5, 'I': 1, 'PI': 65}",88597,16,356,4,7,2.1,2.39,0.23,0.18,12,,lucas-crispim,Lucas Crispim,L. Crispim,Lucas de Figueiredo Crispim,https://s.glbimg.com/es/sde/f/2022/05/12/043b82cd8bbcab2108944aa3cf34372e_FORMATO.png,Provável
329,"{'A': 2, 'DS': 23, 'FC': 11, 'FF': 3, 'FS': 27, 'I': 1, 'PI': 114}",101027,16,290,4,7,0.2,5.86,-0.39,2.98,13,,diego,Diego,Diego,Jackson Diego Ibrahim Fagundes,https://s.glbimg.com/es/sde/f/2022/03/10/fb1b4d53c6475f4e02123bf33a52a0c2_FORMATO.png,Provável
330,"{'CA': 1, 'DE': 21, 'DS': 2, 'GS': 10, 'SG': 1}",101574,16,262,1,6,0.0,4.04,0.0,1.94,9,,hugo-souza,Hugo Souza,H. Souza,Hugo de Souza Nogueira,https://s.glbimg.com/es/sde/f/2022/03/04/f29cb0d7b60a53cf87b5131d4fcf8d45_FORMATO.png,Nulo
331,"{'DS': 9, 'FC': 6, 'FF': 1, 'FS': 9, 'I': 1, 'PI': 77}",62104,16,294,4,6,0.0,3.02,0.0,0.66,10,,robinho,Robinho,Robinho,Róbson Michael Signorini,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,Nulo
332,"{'CA': 3, 'DS': 5, 'FC': 7, 'FS': 3, 'PI': 14}",100969,16,356,4,6,0.0,2.29,0.0,0.2,5,,ronald,Ronald,Ronald,Ronald dos Santos Lopes,https://s.glbimg.com/es/sde/f/2022/05/12/50ab9a9c9ef9edc1a9bed39d4552c026_FORMATO.png,Nulo
333,"{'CA': 4, 'DS': 18, 'FC': 17, 'FD': 1, 'FF': 2, 'FS': 5, 'PI': 35, 'SG': 2}",97768,16,290,3,7,1.0,3.92,-0.11,1.86,13,,reynaldo,Reynaldo,Reynaldo,Reynaldo César Moraes,https://s.glbimg.com/es/sde/f/2022/05/03/de1fca34e51b21b4624ba9bfd83a4b51_FORMATO.png,Provável
334,"{'CA': 2, 'DS': 3, 'FC': 6, 'FS': 6, 'PI': 21, 'SG': 2}",38545,16,266,3,6,0.0,5.94,-0.87,1.53,7,,felipe-melo,Felipe Melo,F. Melo,Felipe Melo de Carvalho,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,Nulo
335,{'CA': 1},91712,16,290,1,6,0.0,1.13,0.0,-1.0,0,,matheus-alves,Matheus Alves,M. Alves,Matheus Alves da Silva Cardoso,https://s.glbimg.com/es/sde/f/2022/03/10/7b5fb8d2f7c818d7caf7871a8119aa2d_FORMATO.png,Nulo
