,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
514,"{'DS': 1, 'FC': 1, 'FD': 1, 'FF': 1, 'FS': 3, 'PI': 5}",101716,10,286,4,6,1.0,2.63,-0.11,0.7,5,bruninho,Bruninho,Bruninho,Bruno Roberto Pereira da Silva,https://s.glbimg.com/es/sde/f/2021/05/25/5ad46c343438a9c2415654fd832ec68a_FORMATO.png,Nulo
515,"{'DS': 2, 'FS': 1, 'PI': 10}",111682,10,264,4,6,0.9,1.32,0.06,0.38,4,adson,Adson,Adson,Adson Ferreira Soares,https://s.glbimg.com/es/sde/f/2021/04/20/f3ce1b7870ea069d18bd9065997d739f_FORMATO.png,Nulo
516,"{'A': 3, 'DS': 13, 'FC': 15, 'FD': 4, 'FF': 8, 'FS': 6, 'G': 2, 'I': 3, 'PI': 63}",96684,10,276,5,5,11.5,8.48,0.93,4.77,9,rigoni,Rigoni,Rigoni,Emiliano Ariel Rigoni,https://s.glbimg.com/es/sde/f/2021/06/03/c998c28055303b42304d5be5616a2892_FORMATO.png,Contundido
517,"{'CA': 2, 'DS': 9, 'FC': 12, 'FS': 5, 'I': 1, 'PI': 16}",78855,10,284,4,5,0.0,1.01,0.0,-0.12,5,thiago-santos,Thiago Santos,T. Santos,Thiago dos Santos,https://s.glbimg.com/es/sde/f/2021/04/29/78a3913eadf71b266b9cde467311d370_FORMATO.png,Contundido
518,{},100107,10,284,4,6,0.0,5.0,0.0,0.0,0,pinares,Pinares,Pinares,César Ignacio Pinares Tamayo,https://s.glbimg.com/es/sde/f/2021/04/29/6a2b59691eaaf1f5bd2a7b642c6717db_FORMATO.png,Nulo
519,{'PI': 2},111831,10,266,5,6,0.0,0.75,0.0,-0.2,1,matheus-martins,Matheus Martins,M. Martins,Matheus Martins Silva dos Santos,https://s.glbimg.com/es/sde/f/2021/05/25/a5edfbb89600b8f558c8e2e0b23d4400_FORMATO.png,Nulo
520,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 3, 'FD': 4, 'FF': 7, 'FS': 13, 'FT': 1, 'I': 1, 'PI': 50}",88597,10,356,4,7,5.5,7.26,0.36,4.27,7,lucas-crispim,Lucas Crispim,L. Crispim,Lucas de Figueiredo Crispim,https://s.glbimg.com/es/sde/f/2021/04/26/6158b01295851dcec7cd9775c70d99b7_FORMATO.png,Provável
521,"{'CA': 1, 'DS': 1, 'PI': 2}",110948,10,354,5,6,0.0,0.76,0.0,-0.4,3,wendson,Wendson,Wendson,Wendson dos Santos Lopes,https://s.glbimg.com/es/sde/f/2021/06/08/6964cea9af2d9dbb8672ead44ca7f152_FORMATO.png,Nulo
522,{},105837,10,284,5,6,0.0,2.09,0.0,0.0,1,guilherme-azevedo,Guilherme Azevedo,G. Azevedo,Guilherme da Silva Azevedo,https://s.glbimg.com/es/sde/f/2021/04/29/6a4aee707256eb2d848830efd0625fea_FORMATO.png,Nulo
523,"{'CA': 1, 'DS': 15, 'FC': 13, 'FF': 1, 'FS': 7, 'PI': 36, 'SG': 4}",95638,10,356,3,7,5.2,6.68,0.9,2.73,10,marcelo-benevenuto,Marcelo Benevenuto,M. Benevenuto,Marcelo da Conceição Benevenuto Malaquias,https://s.glbimg.com/es/sde/f/2021/04/26/f131f07530304a42ed2d813ebd77cd94_FORMATO.png,Provável
