,apelido,atleta_id,clube,posicao,media_casa,media_fora
106,Erick,98022,Athlético-PR,LAT,2.725,4.6
107,Everaldo ,91151,Sport,ATA,0.5,0.0
108,Everson,72294,Atlético-MG,GOL,5.5,3.3333333333333335
109,Everton Felipe,86519,Sport,MEI,2.0,2.9
110,Everton Ribeiro,51772,Flamengo,MEI,0.4,1.3666666666666665
111,Ewerthon,106082,Sport,LAT,6.3999999999999995,-0.6333333333333333
112,Ezequiel ,80318,Chapecoense,LAT,-0.15,-0.23333333333333336
113,Fabinho,80393,Ceará,MEI,-0.8333333333333334,3.1
114,Fabrício,105171,América-MG,ATA,4.4,-2.4
115,Fabrício Bruno,90768,Bragantino,ZAG,4.3999999999999995,-1.55
116,Fagner,42500,Corinthians,LAT,4.966666666666667,2.9
117,Felipe Alves,72372,Fortaleza,GOL,-2.0,-1.0
118,Felipe Azevedo,60825,América-MG,ATA,5.85,2.4
119,Felipe Endres,112964,Chapecoense,TEC,2.715,1.365
120,Felipe Jonatan,101708,Santos,LAT,3.475,8.1
121,Felipe Marques,101054,Cuiabá,ATA,3.8499999999999996,1.225
122,Felipe Melo,38545,Palmeiras,MEI,4.0,-0.4
123,Fernando Canesin,81585,Athlético-PR,MEI,1.0,0.6000000000000001
124,Fernando Miguel,71571,Atlético-GO,GOL,5.833333333333333,3.0
125,Fernando Pacheco,98740,Juventude,ATA,-3.2,0.0
126,Fernando Sobral,84428,Ceará,MEI,4.966666666666667,1.2666666666666666
127,Ferreira,101290,Grêmio,ATA,7.7,4.8999999999999995
128,Filipe Luís,38750,Flamengo,LAT,7.35,0.0
129,Fred,38162,Fluminense,ATA,-0.4,-1.2
130,Fábio Carille,70696,Santos,TEC,4.577500000000001,5.303333333333334
131,Fábio Santos,38229,Corinthians,LAT,5.0,3.3499999999999996
132,Gabriel,78605,Corinthians,MEI,4.1000000000000005,3.9666666666666663
133,Gabriel,83257,Flamengo,ATA,2.3666666666666667,10.45
134,Gabriel,98976,São Paulo,MEI,0.0,0.15
135,Gabriel Dias,88368,Ceará,LAT,0.1,3.933333333333333
136,Gabriel Lacerda,108176,Ceará,ZAG,3.3000000000000003,2.3
137,Gabriel Novaes,109639,Bragantino,ATA,-0.5,-0.45
138,Gabriel Pereira,109588,Corinthians,MEI,-2.7755575615628914e-17,2.7750000000000004
139,Gabriel Pirani,110607,Santos,MEI,2.8000000000000003,-0.7
140,Gabriel Santos,114473,Ceará,ATA,0.5,0.0
141,Gabriel Sara,100763,São Paulo,MEI,8.25,3.0250000000000004
142,Gabriel Teixeira,110760,Fluminense,MEI,1.2,0.0
143,Geuvânio,73896,Chapecoense,ATA,0.7,1.5
144,Gil,68923,Corinthians,ZAG,5.3,1.575
145,Gilberto,61188,Bahia,ATA,7.0,-0.04999999999999999
146,Giuliano,51548,Corinthians,MEI,4.6000000000000005,2.5500000000000003
147,Gomes,107109,Flamengo,MEI,6.2,1.3
148,Guga,101319,Atlético-MG,LAT,2.8333333333333335,3.9
149,Guilherme Arana,87228,Atlético-MG,LAT,7.933333333333334,4.25
150,Guilherme Castilho,101798,Juventude,MEI,4.375,4.199999999999999
151,Gustavo Apis,110947,Fluminense,MEI,0.0,0.85
152,Gustavo Florentín,97094,Sport,TEC,5.4125,2.1733333333333333
153,Gustavo Gómez,71684,Palmeiras,ZAG,4.699999999999999,2.15
154,Gustavo Henrique,78248,Flamengo,ZAG,5.65,2.6
155,Gustavo Maia,108712,Internacional,ATA,8.9,0.04999999999999999
156,Gustavo Mosquito,97450,Corinthians,ATA,0.06666666666666672,1.75
157,Gustavo Oliveira,110633,Sport,MEI,2.5,1.7
158,Gustavo Scarpa,87999,Palmeiras,MEI,9.75,4.533333333333334
159,Guto Ferreira,37245,Bahia,TEC,6.61,2.9250000000000003
160,Heitor,104649,Internacional,LAT,1.2,-0.7999999999999999
161,Helinho,102598,Bragantino,ATA,6.333333333333333,4.1000000000000005
162,Henrique Almeida,68773,Chapecoense,ATA,1.15,-0.26666666666666666
163,Hernanes,38648,Sport,MEI,2.6,2.0999999999999996
164,Hugo Souza,101574,Flamengo,GOL,7.0,8.0
